city,region,country,country_code,latitude,longitude
Gulfport,Mississippi,United States,USA,30.4271,-89.0703
Appleton,Wisconsin,United States,USA,44.2779,-88.3891
Bremerton,Washington,United States,USA,47.5436,-122.7122
Hickory,North Carolina,United States,USA,35.7425,-81.323
Tacoma,Washington,United States,USA,47.2431,-122.4531
San Bernardino,California,United States,USA,34.1417,-117.2946
College Station,Texas,United States,USA,30.5852,-96.296
Kalamazoo,Michigan,United States,USA,42.2749,-85.5882
Thousand Oaks,California,United States,USA,34.1914,-118.8755
Roanoke,Virginia,United States,USA,37.2785,-79.958
Fontana,California,United States,USA,34.0968,-117.4599
Moreno Valley,California,United States,USA,33.9244,-117.2045
Babylon,New York,United States,USA,40.6924,-73.3585
North Port,Florida,United States,USA,27.0577,-82.1975
Fargo,North Dakota,United States,USA,46.8652,-96.8292
Green Bay,Wisconsin,United States,USA,44.515,-87.9896
Spring Valley,Nevada,United States,USA,36.0987,-115.2619
Amarillo,Texas,United States,USA,35.1988,-101.8311
Portland,Maine,United States,USA,43.6773,-70.2715
Santa Barbara,California,United States,USA,34.4285,-119.7202
Gainesville,Florida,United States,USA,29.6804,-82.3458
Huntington,New York,United States,USA,40.8522,-73.3824
Olympia,Washington,United States,USA,47.0417,-122.8959
Frisco,Texas,United States,USA,33.1555,-96.8215
Yonkers,New York,United States,USA,40.9466,-73.8674
Norwich,Connecticut,United States,USA,41.5495,-72.0882
Glendale,California,United States,USA,34.1818,-118.2468
Huntington Beach,California,United States,USA,33.696,-118.0025
Deltona,Florida,United States,USA,28.905,-81.2137
Aurora,Illinois,United States,USA,41.7637,-88.2901
Tempe,Arizona,United States,USA,33.3881,-111.9318
Overland Park,Kansas,United States,USA,38.887,-94.687
Grand Prairie,Texas,United States,USA,32.6872,-97.0209
Sunrise Manor,Nevada,United States,USA,36.1785,-115.049
Waco,Texas,United States,USA,31.5598,-97.1881
Salinas,California,United States,USA,36.6884,-121.6317
Waterbury,Connecticut,United States,USA,41.5583,-73.0361
Clarksville,Tennessee,United States,USA,36.5695,-87.342
Cedar Rapids,Iowa,United States,USA,41.9665,-91.6782
Sioux Falls,South Dakota,United States,USA,43.5397,-96.732
Huntington,West Virginia,United States,USA,38.4109,-82.4344
Ontario,California,United States,USA,34.0393,-117.6064
Hagerstown,Maryland,United States,USA,39.6401,-77.7217
Erie,Pennsylvania,United States,USA,42.1168,-80.0733
Vancouver,Washington,United States,USA,45.6366,-122.5967
Nampa,Idaho,United States,USA,43.5845,-116.5631
Spartanburg,South Carolina,United States,USA,34.9437,-81.9257
Gastonia,North Carolina,United States,USA,35.2494,-81.1853
Fort Lauderdale,Florida,United States,USA,26.1412,-80.1464
Lorain,Ohio,United States,USA,41.4409,-82.184
Murfreesboro,Tennessee,United States,USA,35.8492,-86.4119
High Point,North Carolina,United States,USA,35.9907,-79.9938
Newport News,Virginia,United States,USA,37.1051,-76.5185
Rancho Cucamonga,California,United States,USA,34.1248,-117.5666
Hemet,California,United States,USA,33.7341,-116.9969
Santa Cruz,California,United States,USA,36.9789,-122.0346
Danbury,Connecticut,United States,USA,41.4016,-73.471
Peoria,Arizona,United States,USA,33.7844,-112.2989
Oceanside,California,United States,USA,33.2247,-117.3083
Elk Grove,California,United States,USA,38.416,-121.3842
Pembroke Pines,Florida,United States,USA,26.0128,-80.3382
Vallejo,California,United States,USA,38.1133,-122.2358
Garden Grove,California,United States,USA,33.7787,-117.9601
Enterprise,Nevada,United States,USA,36.0164,-115.2208
Medford,Oregon,United States,USA,42.3372,-122.8537
Cary,North Carolina,United States,USA,35.782,-78.8191
Marysville,Washington,United States,USA,48.0809,-122.1561
Corona,California,United States,USA,33.8616,-117.5649
Ocala,Florida,United States,USA,29.178,-82.1511
Fredericksburg,Virginia,United States,USA,38.2992,-77.4872
Gainesville,Georgia,United States,USA,34.2903,-83.8301
Manchester,New Hampshire,United States,USA,42.9848,-71.4447
Champaign,Illinois,United States,USA,40.1144,-88.2735
Alexandria,Virginia,United States,USA,38.8185,-77.0861
Hayward,California,United States,USA,37.6328,-122.0772
Springfield,Illinois,United States,USA,39.771,-89.6538
Lakewood,Colorado,United States,USA,39.6977,-105.1168
Lafayette,Indiana,United States,USA,40.399,-86.8594
Frederick,Maryland,United States,USA,39.4336,-77.4141
Lake Charles,Louisiana,United States,USA,30.2012,-93.2122
Odessa,Texas,United States,USA,31.8831,-102.3406
Tuscaloosa,Alabama,United States,USA,33.2348,-87.5267
Warner Robins,Georgia,United States,USA,32.597,-83.6529
Palmdale,California,United States,USA,34.5944,-118.1057
Hollywood,Florida,United States,USA,26.0294,-80.1679
Midland,Texas,United States,USA,32.0249,-102.1137
Leesburg,Florida,United States,USA,28.7657,-81.8996
Port Arthur,Texas,United States,USA,29.8554,-93.9264
Muskegon,Michigan,United States,USA,43.2281,-86.2563
Macon,Georgia,United States,USA,32.8065,-83.6974
Kansas City,Kansas,United States,USA,39.1234,-94.7443
Sunnyvale,California,United States,USA,37.3836,-122.0256
Pomona,California,United States,USA,34.0585,-117.7626
Escondido,California,United States,USA,33.1347,-117.0722
Pasadena,Texas,United States,USA,29.6583,-95.1499
New Bedford,Massachusetts,United States,USA,41.6697,-70.9428
Fairfield,California,United States,USA,38.2592,-122.0324
Naperville,Illinois,United States,USA,41.7483,-88.1657
Bellevue,Washington,United States,USA,47.5951,-122.1535
Binghamton,New York,United States,USA,42.1014,-75.9093
Elkhart,Indiana,United States,USA,41.6916,-85.9628
Topeka,Kansas,United States,USA,39.0346,-95.6955
Joliet,Illinois,United States,USA,41.5189,-88.1499
Beaumont,Texas,United States,USA,30.0849,-94.1451
Paterson,New Jersey,United States,USA,40.9147,-74.1624
Merced,California,United States,USA,37.3057,-120.4778
Pueblo,Colorado,United States,USA,38.2705,-104.6112
Tyler,Texas,United States,USA,32.3184,-95.3062
Torrance,California,United States,USA,33.8346,-118.3417
Yuma,Arizona,United States,USA,32.5992,-114.5488
Metairie,Louisiana,United States,USA,29.9977,-90.178
Surprise,Arizona,United States,USA,33.68,-112.4524
Columbia,Missouri,United States,USA,38.9478,-92.3256
Athens,Georgia,United States,USA,33.9508,-83.3689
Roseville,California,United States,USA,38.7703,-121.3196
Thornton,Colorado,United States,USA,39.9197,-104.9438
Miramar,Florida,United States,USA,25.9773,-80.3351
Pasadena,California,United States,USA,34.1597,-118.139
Mesquite,Texas,United States,USA,32.7623,-96.5889
Olathe,Kansas,United States,USA,38.8832,-94.8198
Santa Maria,California,United States,USA,34.9334,-120.4432
Houma,Louisiana,United States,USA,29.5799,-90.7058
Carrollton,Texas,United States,USA,32.989,-96.8999
Grand Junction,Colorado,United States,USA,39.0876,-108.5673
Charleston,West Virginia,United States,USA,38.3484,-81.6323
Orange,California,United States,USA,33.8038,-117.8218
Fullerton,California,United States,USA,33.8841,-117.9279
Greeley,Colorado,United States,USA,40.4151,-104.7706
Las Cruces,New Mexico,United States,USA,32.3265,-106.7892
Panama City,Florida,United States,USA,30.1995,-85.6004
Harlingen,Texas,United States,USA,26.1917,-97.6976
Ramapo,New York,United States,USA,41.1404,-74.1072
West Valley City,Utah,United States,USA,40.6889,-112.0115
Hampton,Virginia,United States,USA,37.0551,-76.363
Warren,Michigan,United States,USA,42.4934,-83.027
Mauldin,South Carolina,United States,USA,34.7849,-82.3005
Bloomington,Illinois,United States,USA,40.4757,-88.9703
Coral Springs,Florida,United States,USA,26.2702,-80.2591
Round Rock,Texas,United States,USA,30.5254,-97.666
Yakima,Washington,United States,USA,46.5923,-120.5496
Sterling Heights,Michigan,United States,USA,42.5809,-83.0305
Kent,Washington,United States,USA,47.3887,-122.2129
Burlington,North Carolina,United States,USA,36.0758,-79.4686
Bellingham,Washington,United States,USA,48.7543,-122.4687
Santa Clara,California,United States,USA,37.3645,-121.968
Racine,Wisconsin,United States,USA,42.7274,-87.8135
Greenville,North Carolina,United States,USA,35.5956,-77.3768
Stamford,Connecticut,United States,USA,41.1035,-73.5583
Elizabeth,New Jersey,United States,USA,40.6657,-74.1912
Johnson City,Tennessee,United States,USA,36.3406,-82.3803
Lynchburg,Virginia,United States,USA,37.4003,-79.1909
Simi Valley,California,United States,USA,34.2663,-118.749
Amherst,New York,United States,USA,43.0117,-78.7569
Fort Smith,Arkansas,United States,USA,35.3493,-94.3695
Kenosha,Wisconsin,United States,USA,42.5864,-87.8765
Norman,Oklahoma,United States,USA,35.2335,-97.3471
South Lyon,Michigan,United States,USA,42.4614,-83.6526
Boulder,Colorado,United States,USA,40.0249,-105.2523
Abilene,Texas,United States,USA,32.4543,-99.7384
Lehigh Acres,Florida,United States,USA,26.612,-81.6388
Pearland,Texas,United States,USA,29.5585,-95.3215
Berkeley,California,United States,USA,37.8723,-122.276
Richardson,Texas,United States,USA,32.9717,-96.7093
Redding,California,United States,USA,40.5698,-122.365
Arvada,Colorado,United States,USA,39.8321,-105.1511
East Los Angeles,California,United States,USA,34.0326,-118.1691
St. George,Utah,United States,USA,37.077,-113.577
Billings,Montana,United States,USA,45.7891,-108.5524
Yuba City,California,United States,USA,39.1357,-121.6381
Rochester,Minnesota,United States,USA,44.0151,-92.4778
Leominster,Massachusetts,United States,USA,42.5209,-71.7717
Kingsport,Tennessee,United States,USA,36.5224,-82.5453
Duluth,Minnesota,United States,USA,46.7756,-92.1392
Rock Hill,South Carolina,United States,USA,34.9416,-81.0244
Gilroy,California,United States,USA,37.0047,-121.5855
Cambridge,Massachusetts,United States,USA,42.3759,-71.1185
Sugar Land,Texas,United States,USA,29.5935,-95.6357
Texas City,Texas,United States,USA,29.4128,-94.9658
Iowa City,Iowa,United States,USA,41.6559,-91.5303
Saginaw,Michigan,United States,USA,43.4199,-83.9501
Chico,California,United States,USA,39.7575,-121.8152
Dover,Delaware,United States,USA,39.161,-75.5203
Clearwater,Florida,United States,USA,27.9789,-82.7622
Coeur d'Alene,Idaho,United States,USA,47.7041,-116.7935
Seaside,California,United States,USA,36.6224,-121.8191
Independence,Missouri,United States,USA,39.0871,-94.3501
